1 100 0.000009 [0.000005 - 0.000051] 0.000008
2 100 0.000052 [0.000043 - 0.000102] 0.000009
3 100 0.000083 [0.000040 - 0.000332] 0.000041
4 100 0.000070 [0.000024 - 0.000709] 0.000094
5 100 0.000071 [0.000034 - 0.000964] 0.000130
6 100 0.000062 [0.000025 - 0.001084] 0.000148
7 100 0.000052 [0.000022 - 0.000768] 0.000104
8 100 0.000057 [0.000027 - 0.000922] 0.000125
9 100 0.000055 [0.000021 - 0.000970] 0.000132
10 100 0.000050 [0.000022 - 0.000769] 0.000104
11 100 0.000066 [0.000019 - 0.001100] 0.000161
12 100 0.000052 [0.000025 - 0.000793] 0.000107
13 100 0.000061 [0.000022 - 0.001190] 0.000163
14 100 0.000057 [0.000022 - 0.000958] 0.000130
15 100 0.000052 [0.000025 - 0.000874] 0.000119
16 100 0.000072 [0.000023 - 0.001798] 0.000249
17 100 0.000055 [0.000021 - 0.001102] 0.000151
18 100 0.000057 [0.000023 - 0.001110] 0.000152
19 100 0.000058 [0.000024 - 0.001086] 0.000149
20 100 0.000053 [0.000029 - 0.000821] 0.000111
21 100 0.000067 [0.000031 - 0.001275] 0.000174
22 100 0.000054 [0.000030 - 0.000717] 0.000096
23 100 0.000064 [0.000033 - 0.001276] 0.000175
24 100 0.000056 [0.000027 - 0.000843] 0.000114
25 100 0.000066 [0.000030 - 0.001262] 0.000173
26 100 0.000062 [0.000025 - 0.001084] 0.000148
27 100 0.000057 [0.000025 - 0.000729] 0.000097
28 100 0.000076 [0.000027 - 0.001652] 0.000228
29 100 0.000075 [0.000027 - 0.001491] 0.000204
30 100 0.000078 [0.000026 - 0.001611] 0.000221
31 100 0.000072 [0.000029 - 0.001294] 0.000176
32 100 0.000077 [0.000031 - 0.001538] 0.000211
33 100 0.000065 [0.000025 - 0.000859] 0.000115
34 100 0.000070 [0.000035 - 0.001005] 0.000135
35 100 0.000069 [0.000035 - 0.000999] 0.000134
36 100 0.000071 [0.000030 - 0.000884] 0.000118
