1 1000 0.001516 [0.001408 - 0.006456] 0.000713 Join(0.000008)
2 1000 0.001046 [0.000917 - 0.005464] 0.000638 Join(0.000008)
3 1000 0.000863 [0.000669 - 0.009638] 0.001266 Join(0.000013)
4 1000 0.000805 [0.000530 - 0.013333] 0.001808 Join(0.000022)
5 1000 0.000809 [0.000459 - 0.016640] 0.002285 Join(0.000023)
6 1000 0.000879 [0.000454 - 0.019741] 0.002722 Join(0.000021)
7 1000 0.000910 [0.000465 - 0.021925] 0.003033 Join(0.000022)
8 1000 0.001023 [0.000468 - 0.026592] 0.003690 Join(0.000039)
9 1000 0.001103 [0.000503 - 0.029096] 0.004040 Join(0.000040)
10 1000 0.001488 [0.000803 - 0.033704] 0.004649 Join(0.000026)
11 1000 0.001667 [0.000962 - 0.034434] 0.004729 Join(0.000026)
12 1000 0.001834 [0.001010 - 0.040020] 0.005511 Join(0.000036)
13 1000 0.001977 [0.001072 - 0.044017] 0.006067 Join(0.000035)
14 1000 0.002094 [0.001122 - 0.048046] 0.006631 Join(0.000026)
15 1000 0.002198 [0.001151 - 0.051112] 0.007059 Join(0.000025)
16 1000 0.002269 [0.001162 - 0.054671] 0.007562 Join(0.000025)
17 1000 0.002330 [0.001150 - 0.057390] 0.007946 Join(0.000025)
18 1000 0.002443 [0.001175 - 0.061719] 0.008554 Join(0.000026)
19 1000 0.002655 [0.001337 - 0.064852] 0.008976 Join(0.000028)
20 1000 0.002760 [0.001371 - 0.066933] 0.009261 Join(0.000031)
21 1000 0.002891 [0.001414 - 0.071710] 0.009931 Join(0.000033)
22 1000 0.002989 [0.001460 - 0.074856] 0.010371 Join(0.000033)
23 1000 0.003056 [0.001476 - 0.078325] 0.010862 Join(0.000033)
24 1000 0.003128 [0.001457 - 0.081478] 0.011307 Join(0.000033)
25 1000 0.003184 [0.001456 - 0.084065] 0.011672 Join(0.000034)
26 1000 0.003267 [0.001468 - 0.088158] 0.012251 Join(0.000033)
27 1000 0.003333 [0.001472 - 0.090726] 0.012612 Join(0.000033)
28 1000 0.003436 [0.001513 - 0.094421] 0.013130 Join(0.000034)
29 1000 0.003508 [0.001527 - 0.096776] 0.013459 Join(0.000035)
30 1000 0.003577 [0.001515 - 0.101715] 0.014162 Join(0.000035)
31 1000 0.003709 [0.001555 - 0.106161] 0.014785 Join(0.000035)
32 1000 0.003768 [0.001527 - 0.109479] 0.015255 Join(0.000034)
33 1000 0.003822 [0.001524 - 0.112572] 0.015693 Join(0.000035)
34 1000 0.003876 [0.001518 - 0.115510] 0.016110 Join(0.000035)
35 1000 0.003971 [0.001566 - 0.119518] 0.016674 Join(0.000036)
36 1000 0.004041 [0.001548 - 0.122930] 0.017157 Join(0.000035)
