GLT breakdown Threads: 1, Total: 22.130037, Create: 0.000006, Yield: 22.130030, Join: 0.000001
GLT breakdown Threads: 1, Total: 22.046504, Create: 0.000007, Yield: 22.046496, Join: 0.000001
GLT breakdown Threads: 1, Total: 21.989729, Create: 0.000004, Yield: 21.989724, Join: 0.000001
GLT breakdown Threads: 1, Total: 22.453166, Create: 0.000005, Yield: 22.453160, Join: 0.000001
GLT breakdown Threads: 1, Total: 21.951984, Create: 0.000004, Yield: 21.951979, Join: 0.000001
GLT breakdown Threads: 1, Total: 21.956384, Create: 0.000006, Yield: 21.956377, Join: 0.000001
GLT breakdown Threads: 1, Total: 21.971698, Create: 0.000005, Yield: 21.971693, Join: 0.000000
GLT breakdown Threads: 1, Total: 21.957687, Create: 0.000005, Yield: 21.957681, Join: 0.000001
GLT breakdown Threads: 1, Total: 21.961094, Create: 0.000005, Yield: 21.961088, Join: 0.000001
GLT breakdown Threads: 1, Total: 21.971418, Create: 0.000005, Yield: 21.971412, Join: 0.000001
GLT breakdown Threads: 1, Total: 21.969375, Create: 0.000004, Yield: 21.969370, Join: 0.000001
GLT breakdown Threads: 1, Total: 21.958475, Create: 0.000004, Yield: 21.958468, Join: 0.000003
GLT breakdown Threads: 1, Total: 21.956248, Create: 0.000004, Yield: 21.956241, Join: 0.000003
GLT breakdown Threads: 1, Total: 21.994327, Create: 0.000005, Yield: 21.994321, Join: 0.000001
GLT breakdown Threads: 1, Total: 22.002394, Create: 0.000004, Yield: 22.002389, Join: 0.000001
GLT breakdown Threads: 1, Total: 22.107118, Create: 0.000004, Yield: 22.107114, Join: 0.000000
GLT breakdown Threads: 1, Total: 22.086529, Create: 0.000005, Yield: 22.086523, Join: 0.000001
GLT breakdown Threads: 1, Total: 22.238727, Create: 0.000005, Yield: 22.238721, Join: 0.000001
GLT breakdown Threads: 1, Total: 21.968642, Create: 0.000004, Yield: 21.968634, Join: 0.000004
GLT breakdown Threads: 1, Total: 22.116848, Create: 0.000004, Yield: 22.116843, Join: 0.000001
GLT breakdown Threads: 1, Total: 21.958884, Create: 0.000004, Yield: 21.958879, Join: 0.000001
GLT breakdown Threads: 1, Total: 22.163659, Create: 0.000007, Yield: 22.163649, Join: 0.000003
GLT breakdown Threads: 1, Total: 21.954305, Create: 0.000005, Yield: 21.954299, Join: 0.000001
GLT breakdown Threads: 1, Total: 21.957131, Create: 0.000006, Yield: 21.957124, Join: 0.000001
GLT breakdown Threads: 1, Total: 22.169503, Create: 0.000004, Yield: 22.169498, Join: 0.000001
GLT breakdown Threads: 1, Total: 21.957395, Create: 0.000004, Yield: 21.957391, Join: 0.000000
GLT breakdown Threads: 1, Total: 22.067156, Create: 0.000004, Yield: 22.067147, Join: 0.000005
GLT breakdown Threads: 1, Total: 21.994686, Create: 0.000004, Yield: 21.994681, Join: 0.000001
GLT breakdown Threads: 1, Total: 21.976466, Create: 0.000004, Yield: 21.976461, Join: 0.000001
GLT breakdown Threads: 1, Total: 21.955341, Create: 0.000006, Yield: 21.955334, Join: 0.000001
GLT breakdown Threads: 1, Total: 22.065603, Create: 0.000005, Yield: 22.065595, Join: 0.000003
GLT breakdown Threads: 1, Total: 22.065173, Create: 0.000004, Yield: 22.065168, Join: 0.000001
GLT breakdown Threads: 1, Total: 21.957130, Create: 0.000004, Yield: 21.957125, Join: 0.000001
GLT breakdown Threads: 1, Total: 22.055105, Create: 0.000004, Yield: 22.055100, Join: 0.000001
GLT breakdown Threads: 1, Total: 21.964074, Create: 0.000006, Yield: 21.964065, Join: 0.000003
GLT breakdown Threads: 1, Total: 21.969624, Create: 0.000004, Yield: 21.969619, Join: 0.000001
GLT breakdown Threads: 1, Total: 21.978238, Create: 0.000004, Yield: 21.978233, Join: 0.000001
GLT breakdown Threads: 1, Total: 21.976102, Create: 0.000004, Yield: 21.976097, Join: 0.000001
GLT breakdown Threads: 1, Total: 22.060166, Create: 0.000007, Yield: 22.060158, Join: 0.000001
GLT breakdown Threads: 1, Total: 21.956857, Create: 0.000005, Yield: 21.956851, Join: 0.000001
GLT breakdown Threads: 1, Total: 21.957168, Create: 0.000006, Yield: 21.957161, Join: 0.000001
GLT breakdown Threads: 1, Total: 21.955711, Create: 0.000005, Yield: 21.955705, Join: 0.000001
GLT breakdown Threads: 1, Total: 21.952362, Create: 0.000005, Yield: 21.952356, Join: 0.000001
GLT breakdown Threads: 1, Total: 21.969891, Create: 0.000004, Yield: 21.969886, Join: 0.000001
GLT breakdown Threads: 1, Total: 21.955533, Create: 0.000005, Yield: 21.955525, Join: 0.000003
GLT breakdown Threads: 1, Total: 21.957242, Create: 0.000004, Yield: 21.957237, Join: 0.000001
GLT breakdown Threads: 1, Total: 21.956860, Create: 0.000005, Yield: 21.956855, Join: 0.000000
GLT breakdown Threads: 1, Total: 21.957996, Create: 0.000004, Yield: 21.957989, Join: 0.000003
GLT breakdown Threads: 1, Total: 21.960387, Create: 0.000004, Yield: 21.960382, Join: 0.000001
GLT breakdown Threads: 1, Total: 21.972494, Create: 0.000006, Yield: 21.972487, Join: 0.000001
GLT breakdown Threads: 1, Total: 22.013078, Create: 0.000005, Yield: 22.013069, Join: 0.000004
GLT breakdown Threads: 1, Total: 21.952208, Create: 0.000004, Yield: 21.952203, Join: 0.000001
GLT breakdown Threads: 1, Total: 22.077896, Create: 0.000006, Yield: 22.077889, Join: 0.000001
GLT breakdown Threads: 1, Total: 21.968728, Create: 0.000004, Yield: 21.968723, Join: 0.000001
GLT breakdown Threads: 1, Total: 21.966344, Create: 0.000004, Yield: 21.966337, Join: 0.000003
GLT breakdown Threads: 1, Total: 22.483077, Create: 0.000004, Yield: 22.483072, Join: 0.000001
GLT breakdown Threads: 1, Total: 22.015780, Create: 0.000004, Yield: 22.015775, Join: 0.000001
GLT breakdown Threads: 1, Total: 22.199847, Create: 0.000004, Yield: 22.199842, Join: 0.000001
GLT breakdown Threads: 1, Total: 22.056647, Create: 0.000005, Yield: 22.056641, Join: 0.000001
GLT breakdown Threads: 1, Total: 22.033547, Create: 0.000004, Yield: 22.033542, Join: 0.000001
GLT breakdown Threads: 1, Total: 21.971883, Create: 0.000004, Yield: 21.971876, Join: 0.000003
GLT breakdown Threads: 1, Total: 21.979541, Create: 0.000006, Yield: 21.979534, Join: 0.000001
GLT breakdown Threads: 1, Total: 21.956790, Create: 0.000004, Yield: 21.956783, Join: 0.000003
GLT breakdown Threads: 1, Total: 21.963775, Create: 0.000004, Yield: 21.963771, Join: 0.000000
GLT breakdown Threads: 1, Total: 21.966988, Create: 0.000007, Yield: 21.966980, Join: 0.000001
GLT breakdown Threads: 1, Total: 21.987186, Create: 0.000004, Yield: 21.987181, Join: 0.000001
GLT breakdown Threads: 1, Total: 21.962049, Create: 0.000004, Yield: 21.962044, Join: 0.000001
GLT breakdown Threads: 1, Total: 21.975204, Create: 0.000004, Yield: 21.975199, Join: 0.000001
GLT breakdown Threads: 1, Total: 21.997712, Create: 0.000004, Yield: 21.997707, Join: 0.000001
GLT breakdown Threads: 1, Total: 22.061281, Create: 0.000004, Yield: 22.061276, Join: 0.000001
GLT breakdown Threads: 1, Total: 21.952050, Create: 0.000005, Yield: 21.952044, Join: 0.000000
GLT breakdown Threads: 1, Total: 21.952678, Create: 0.000006, Yield: 21.952669, Join: 0.000003
GLT breakdown Threads: 1, Total: 21.961202, Create: 0.000004, Yield: 21.961198, Join: 0.000000
GLT breakdown Threads: 1, Total: 21.954094, Create: 0.000006, Yield: 21.954083, Join: 0.000005
GLT breakdown Threads: 1, Total: 21.956872, Create: 0.000004, Yield: 21.956867, Join: 0.000001
GLT breakdown Threads: 1, Total: 21.972260, Create: 0.000006, Yield: 21.972253, Join: 0.000001
GLT breakdown Threads: 1, Total: 21.956805, Create: 0.000004, Yield: 21.956800, Join: 0.000001
GLT breakdown Threads: 1, Total: 21.967537, Create: 0.000004, Yield: 21.967529, Join: 0.000004
GLT breakdown Threads: 1, Total: 21.977119, Create: 0.000004, Yield: 21.977114, Join: 0.000001
GLT breakdown Threads: 1, Total: 21.967733, Create: 0.000004, Yield: 21.967728, Join: 0.000001
GLT breakdown Threads: 1, Total: 21.954439, Create: 0.000003, Yield: 21.954434, Join: 0.000002
GLT breakdown Threads: 1, Total: 22.018637, Create: 0.000005, Yield: 22.018631, Join: 0.000001
GLT breakdown Threads: 1, Total: 21.952463, Create: 0.000006, Yield: 21.952456, Join: 0.000001
GLT breakdown Threads: 1, Total: 21.954829, Create: 0.000004, Yield: 21.954824, Join: 0.000001
GLT breakdown Threads: 1, Total: 21.963635, Create: 0.000004, Yield: 21.963630, Join: 0.000001
GLT breakdown Threads: 1, Total: 21.962795, Create: 0.000004, Yield: 21.962790, Join: 0.000001
GLT breakdown Threads: 1, Total: 21.956880, Create: 0.000007, Yield: 21.956873, Join: 0.000000
GLT breakdown Threads: 1, Total: 21.975129, Create: 0.000006, Yield: 21.975122, Join: 0.000001
GLT breakdown Threads: 1, Total: 21.950609, Create: 0.000004, Yield: 21.950604, Join: 0.000001
GLT breakdown Threads: 1, Total: 21.969641, Create: 0.000006, Yield: 21.969632, Join: 0.000003
GLT breakdown Threads: 1, Total: 22.099345, Create: 0.000004, Yield: 22.099340, Join: 0.000001
GLT breakdown Threads: 1, Total: 21.971865, Create: 0.000004, Yield: 21.971860, Join: 0.000001
GLT breakdown Threads: 1, Total: 21.956169, Create: 0.000005, Yield: 21.956163, Join: 0.000001
GLT breakdown Threads: 1, Total: 22.068492, Create: 0.000005, Yield: 22.068486, Join: 0.000001
GLT breakdown Threads: 1, Total: 22.098483, Create: 0.000004, Yield: 22.098478, Join: 0.000001
GLT breakdown Threads: 1, Total: 21.956640, Create: 0.000006, Yield: 21.956633, Join: 0.000001
GLT breakdown Threads: 1, Total: 21.965412, Create: 0.000005, Yield: 21.965406, Join: 0.000001
GLT breakdown Threads: 1, Total: 22.472272, Create: 0.000004, Yield: 22.472268, Join: 0.000000
GLT breakdown Threads: 1, Total: 21.964856, Create: 0.000004, Yield: 21.964851, Join: 0.000001
GLT breakdown Threads: 1, Total: 21.968663, Create: 0.000006, Yield: 21.968653, Join: 0.000004
GLT breakdown Threads: 1, Total: 21.959963, Create: 0.000006, Yield: 21.959956, Join: 0.000001
GLT breakdown Threads: 1, Total: 21.956624, Create: 0.000004, Yield: 21.956615, Join: 0.000005
GLT breakdown Threads: 1, Total: 21.962680, Create: 0.000004, Yield: 21.962675, Join: 0.000001
GLT breakdown Threads: 1, Total: 21.989161, Create: 0.000003, Yield: 21.989157, Join: 0.000001
GLT breakdown Threads: 1, Total: 21.962893, Create: 0.000002, Yield: 21.962890, Join: 0.000001
GLT breakdown Threads: 1, Total: 22.020514, Create: 0.000005, Yield: 22.020509, Join: 0.000000
GLT breakdown Threads: 1, Total: 21.958297, Create: 0.000003, Yield: 21.958294, Join: 0.000000
GLT breakdown Threads: 1, Total: 21.953455, Create: 0.000003, Yield: 21.953449, Join: 0.000003
GLT breakdown Threads: 1, Total: 21.968400, Create: 0.000003, Yield: 21.968396, Join: 0.000001
GLT breakdown Threads: 1, Total: 21.974234, Create: 0.000003, Yield: 21.974230, Join: 0.000001
GLT breakdown Threads: 1, Total: 21.964504, Create: 0.000003, Yield: 21.964501, Join: 0.000000
GLT breakdown Threads: 1, Total: 21.970998, Create: 0.000003, Yield: 21.970992, Join: 0.000003
GLT breakdown Threads: 1, Total: 22.138096, Create: 0.000003, Yield: 22.138089, Join: 0.000004
GLT breakdown Threads: 1, Total: 21.967480, Create: 0.000003, Yield: 21.967476, Join: 0.000001
