GLT breakdown Threads: 1, Total: 21.897589, Create: 0.000002, Yield: 21.897571, Join: 0.000016
GLT breakdown Threads: 1, Total: 22.016347, Create: 0.000003, Yield: 22.016327, Join: 0.000017
GLT breakdown Threads: 1, Total: 21.913154, Create: 0.000006, Yield: 21.913132, Join: 0.000015
GLT breakdown Threads: 1, Total: 21.899749, Create: 0.000002, Yield: 21.899732, Join: 0.000015
GLT breakdown Threads: 1, Total: 21.899127, Create: 0.000003, Yield: 21.899109, Join: 0.000015
GLT breakdown Threads: 1, Total: 21.903111, Create: 0.000003, Yield: 21.903093, Join: 0.000015
GLT breakdown Threads: 1, Total: 21.897175, Create: 0.000002, Yield: 21.897159, Join: 0.000014
GLT breakdown Threads: 1, Total: 21.898655, Create: 0.000006, Yield: 21.898629, Join: 0.000020
GLT breakdown Threads: 1, Total: 21.930313, Create: 0.000004, Yield: 21.930294, Join: 0.000015
GLT breakdown Threads: 1, Total: 21.908438, Create: 0.000006, Yield: 21.908416, Join: 0.000016
GLT breakdown Threads: 1, Total: 21.944010, Create: 0.000003, Yield: 21.943988, Join: 0.000019
GLT breakdown Threads: 1, Total: 21.976368, Create: 0.000003, Yield: 21.976345, Join: 0.000020
GLT breakdown Threads: 1, Total: 21.993863, Create: 0.000003, Yield: 21.993844, Join: 0.000016
GLT breakdown Threads: 1, Total: 21.893656, Create: 0.000006, Yield: 21.893635, Join: 0.000015
GLT breakdown Threads: 1, Total: 21.898603, Create: 0.000003, Yield: 21.898585, Join: 0.000015
GLT breakdown Threads: 1, Total: 22.058447, Create: 0.000006, Yield: 22.058425, Join: 0.000016
GLT breakdown Threads: 1, Total: 21.893305, Create: 0.000006, Yield: 21.893284, Join: 0.000015
GLT breakdown Threads: 1, Total: 21.902711, Create: 0.000006, Yield: 21.902690, Join: 0.000015
GLT breakdown Threads: 1, Total: 22.100206, Create: 0.000003, Yield: 22.100187, Join: 0.000016
GLT breakdown Threads: 1, Total: 21.898097, Create: 0.000004, Yield: 21.898074, Join: 0.000019
GLT breakdown Threads: 1, Total: 21.893921, Create: 0.000004, Yield: 21.893898, Join: 0.000019
GLT breakdown Threads: 1, Total: 22.068882, Create: 0.000003, Yield: 22.068863, Join: 0.000016
GLT breakdown Threads: 1, Total: 21.965547, Create: 0.000003, Yield: 21.965529, Join: 0.000015
GLT breakdown Threads: 1, Total: 22.026066, Create: 0.000003, Yield: 22.026044, Join: 0.000019
GLT breakdown Threads: 1, Total: 21.899700, Create: 0.000003, Yield: 21.899682, Join: 0.000015
GLT breakdown Threads: 1, Total: 22.033854, Create: 0.000003, Yield: 22.033835, Join: 0.000016
GLT breakdown Threads: 1, Total: 21.903369, Create: 0.000004, Yield: 21.903350, Join: 0.000015
GLT breakdown Threads: 1, Total: 21.893003, Create: 0.000003, Yield: 21.892980, Join: 0.000020
GLT breakdown Threads: 1, Total: 21.997795, Create: 0.000003, Yield: 21.997772, Join: 0.000020
GLT breakdown Threads: 1, Total: 21.941822, Create: 0.000004, Yield: 21.941798, Join: 0.000020
GLT breakdown Threads: 1, Total: 21.973180, Create: 0.000003, Yield: 21.973156, Join: 0.000021
GLT breakdown Threads: 1, Total: 22.093869, Create: 0.000003, Yield: 22.093846, Join: 0.000020
GLT breakdown Threads: 1, Total: 22.036187, Create: 0.000003, Yield: 22.036164, Join: 0.000020
GLT breakdown Threads: 1, Total: 21.919327, Create: 0.000003, Yield: 21.919303, Join: 0.000021
GLT breakdown Threads: 1, Total: 21.933131, Create: 0.000003, Yield: 21.933105, Join: 0.000023
GLT breakdown Threads: 1, Total: 21.900458, Create: 0.000003, Yield: 21.900436, Join: 0.000019
GLT breakdown Threads: 1, Total: 21.953174, Create: 0.000002, Yield: 21.953152, Join: 0.000020
GLT breakdown Threads: 1, Total: 21.909165, Create: 0.000003, Yield: 21.909143, Join: 0.000019
GLT breakdown Threads: 1, Total: 21.896771, Create: 0.000002, Yield: 21.896751, Join: 0.000018
GLT breakdown Threads: 1, Total: 21.899440, Create: 0.000007, Yield: 21.899411, Join: 0.000022
GLT breakdown Threads: 1, Total: 21.911553, Create: 0.000002, Yield: 21.911535, Join: 0.000016
GLT breakdown Threads: 1, Total: 21.907374, Create: 0.000003, Yield: 21.907351, Join: 0.000020
GLT breakdown Threads: 1, Total: 21.897370, Create: 0.000003, Yield: 21.897352, Join: 0.000015
GLT breakdown Threads: 1, Total: 22.006100, Create: 0.000003, Yield: 22.006077, Join: 0.000020
GLT breakdown Threads: 1, Total: 21.899387, Create: 0.000004, Yield: 21.899367, Join: 0.000016
GLT breakdown Threads: 1, Total: 21.899318, Create: 0.000003, Yield: 21.899301, Join: 0.000014
GLT breakdown Threads: 1, Total: 22.083102, Create: 0.000002, Yield: 22.083083, Join: 0.000017
GLT breakdown Threads: 1, Total: 21.904797, Create: 0.000003, Yield: 21.904778, Join: 0.000016
GLT breakdown Threads: 1, Total: 21.930727, Create: 0.000004, Yield: 21.930707, Join: 0.000016
GLT breakdown Threads: 1, Total: 21.986515, Create: 0.000003, Yield: 21.986496, Join: 0.000016
GLT breakdown Threads: 1, Total: 21.919908, Create: 0.000003, Yield: 21.919886, Join: 0.000015
GLT breakdown Threads: 1, Total: 21.950917, Create: 0.000003, Yield: 21.950895, Join: 0.000019
GLT breakdown Threads: 1, Total: 22.190081, Create: 0.000003, Yield: 22.190063, Join: 0.000015
GLT breakdown Threads: 1, Total: 21.969574, Create: 0.000003, Yield: 21.969555, Join: 0.000016
GLT breakdown Threads: 1, Total: 21.897240, Create: 0.000003, Yield: 21.897221, Join: 0.000016
GLT breakdown Threads: 1, Total: 22.019190, Create: 0.000004, Yield: 22.019170, Join: 0.000016
GLT breakdown Threads: 1, Total: 21.918518, Create: 0.000002, Yield: 21.918501, Join: 0.000015
GLT breakdown Threads: 1, Total: 21.899169, Create: 0.000003, Yield: 21.899151, Join: 0.000015
GLT breakdown Threads: 1, Total: 21.902195, Create: 0.000006, Yield: 21.902174, Join: 0.000015
GLT breakdown Threads: 1, Total: 21.898170, Create: 0.000003, Yield: 21.898152, Join: 0.000015
GLT breakdown Threads: 1, Total: 22.101105, Create: 0.000002, Yield: 22.101088, Join: 0.000015
GLT breakdown Threads: 1, Total: 21.895239, Create: 0.000006, Yield: 21.895217, Join: 0.000016
GLT breakdown Threads: 1, Total: 21.905176, Create: 0.000006, Yield: 21.905154, Join: 0.000016
GLT breakdown Threads: 1, Total: 21.909394, Create: 0.000003, Yield: 21.909375, Join: 0.000016
GLT breakdown Threads: 1, Total: 21.893452, Create: 0.000002, Yield: 21.893434, Join: 0.000016
GLT breakdown Threads: 1, Total: 21.962908, Create: 0.000004, Yield: 21.962885, Join: 0.000019
GLT breakdown Threads: 1, Total: 22.012345, Create: 0.000006, Yield: 22.012323, Join: 0.000016
GLT breakdown Threads: 1, Total: 22.035159, Create: 0.000003, Yield: 22.035140, Join: 0.000016
GLT breakdown Threads: 1, Total: 21.901430, Create: 0.000002, Yield: 21.901415, Join: 0.000013
GLT breakdown Threads: 1, Total: 21.996607, Create: 0.000003, Yield: 21.996584, Join: 0.000020
GLT breakdown Threads: 1, Total: 21.998481, Create: 0.000003, Yield: 21.998460, Join: 0.000018
