GLT breakdown Threads: 1, Total: 22.308311, Create: 0.000003, Yield: 22.308293, Join: 0.000015
GLT breakdown Threads: 1, Total: 21.991507, Create: 0.000003, Yield: 21.991487, Join: 0.000017
GLT breakdown Threads: 1, Total: 22.113724, Create: 0.000004, Yield: 22.113705, Join: 0.000015
GLT breakdown Threads: 1, Total: 22.025612, Create: 0.000003, Yield: 22.025595, Join: 0.000014
GLT breakdown Threads: 1, Total: 22.109018, Create: 0.000004, Yield: 22.108997, Join: 0.000017
GLT breakdown Threads: 1, Total: 22.140715, Create: 0.000003, Yield: 22.140697, Join: 0.000015
GLT breakdown Threads: 1, Total: 21.965619, Create: 0.000004, Yield: 21.965601, Join: 0.000014
GLT breakdown Threads: 1, Total: 22.219606, Create: 0.000004, Yield: 22.219587, Join: 0.000015
GLT breakdown Threads: 1, Total: 22.186599, Create: 0.000003, Yield: 22.186582, Join: 0.000014
GLT breakdown Threads: 1, Total: 22.143765, Create: 0.000003, Yield: 22.143744, Join: 0.000018
GLT breakdown Threads: 1, Total: 22.314131, Create: 0.000004, Yield: 22.314109, Join: 0.000018
GLT breakdown Threads: 1, Total: 22.022997, Create: 0.000004, Yield: 22.022977, Join: 0.000016
GLT breakdown Threads: 1, Total: 21.980931, Create: 0.000003, Yield: 21.980913, Join: 0.000015
GLT breakdown Threads: 1, Total: 22.380103, Create: 0.000004, Yield: 22.380082, Join: 0.000017
GLT breakdown Threads: 1, Total: 22.247389, Create: 0.000004, Yield: 22.247367, Join: 0.000018
GLT breakdown Threads: 1, Total: 21.942457, Create: 0.000003, Yield: 21.942436, Join: 0.000018
GLT breakdown Threads: 1, Total: 22.368360, Create: 0.000004, Yield: 22.368338, Join: 0.000018
GLT breakdown Threads: 1, Total: 21.931560, Create: 0.000006, Yield: 21.931536, Join: 0.000018
GLT breakdown Threads: 1, Total: 22.238642, Create: 0.000004, Yield: 22.238621, Join: 0.000017
GLT breakdown Threads: 1, Total: 21.992567, Create: 0.000003, Yield: 21.992545, Join: 0.000019
GLT breakdown Threads: 1, Total: 21.966935, Create: 0.000009, Yield: 21.966904, Join: 0.000022
GLT breakdown Threads: 1, Total: 22.086847, Create: 0.000003, Yield: 22.086827, Join: 0.000017
GLT breakdown Threads: 1, Total: 22.008242, Create: 0.000003, Yield: 22.008222, Join: 0.000017
GLT breakdown Threads: 1, Total: 21.941708, Create: 0.000003, Yield: 21.941688, Join: 0.000017
GLT breakdown Threads: 1, Total: 21.966777, Create: 0.000004, Yield: 21.966751, Join: 0.000022
GLT breakdown Threads: 1, Total: 22.223841, Create: 0.000003, Yield: 22.223819, Join: 0.000019
GLT breakdown Threads: 1, Total: 22.161365, Create: 0.000004, Yield: 22.161339, Join: 0.000022
GLT breakdown Threads: 1, Total: 22.085112, Create: 0.000004, Yield: 22.085086, Join: 0.000022
GLT breakdown Threads: 1, Total: 21.932730, Create: 0.000003, Yield: 21.932709, Join: 0.000018
GLT breakdown Threads: 1, Total: 22.581791, Create: 0.000003, Yield: 22.581771, Join: 0.000017
GLT breakdown Threads: 1, Total: 21.993272, Create: 0.000004, Yield: 21.993247, Join: 0.000021
GLT breakdown Threads: 1, Total: 22.053916, Create: 0.000003, Yield: 22.053893, Join: 0.000020
GLT breakdown Threads: 1, Total: 21.989240, Create: 0.000008, Yield: 21.989212, Join: 0.000020
GLT breakdown Threads: 1, Total: 22.080946, Create: 0.000003, Yield: 22.080926, Join: 0.000017
GLT breakdown Threads: 1, Total: 21.966665, Create: 0.000004, Yield: 21.966644, Join: 0.000017
GLT breakdown Threads: 1, Total: 22.125726, Create: 0.000003, Yield: 22.125705, Join: 0.000018
GLT breakdown Threads: 1, Total: 22.104579, Create: 0.000003, Yield: 22.104558, Join: 0.000018
GLT breakdown Threads: 1, Total: 21.938868, Create: 0.000004, Yield: 21.938843, Join: 0.000021
GLT breakdown Threads: 1, Total: 21.986633, Create: 0.000003, Yield: 21.986612, Join: 0.000018
GLT breakdown Threads: 1, Total: 22.055109, Create: 0.000003, Yield: 22.055089, Join: 0.000017
GLT breakdown Threads: 1, Total: 21.983948, Create: 0.000004, Yield: 21.983930, Join: 0.000014
GLT breakdown Threads: 1, Total: 21.976416, Create: 0.000003, Yield: 21.976395, Join: 0.000017
GLT breakdown Threads: 1, Total: 22.057141, Create: 0.000004, Yield: 22.057120, Join: 0.000017
GLT breakdown Threads: 1, Total: 21.974111, Create: 0.000004, Yield: 21.974093, Join: 0.000014
GLT breakdown Threads: 1, Total: 21.959504, Create: 0.000003, Yield: 21.959487, Join: 0.000014
GLT breakdown Threads: 1, Total: 21.957878, Create: 0.000004, Yield: 21.957859, Join: 0.000015
GLT breakdown Threads: 1, Total: 21.950113, Create: 0.000004, Yield: 21.950094, Join: 0.000015
GLT breakdown Threads: 1, Total: 21.943917, Create: 0.000003, Yield: 21.943899, Join: 0.000015
GLT breakdown Threads: 1, Total: 21.935348, Create: 0.000003, Yield: 21.935330, Join: 0.000015
GLT breakdown Threads: 1, Total: 21.955625, Create: 0.000003, Yield: 21.955606, Join: 0.000016
GLT breakdown Threads: 1, Total: 22.283170, Create: 0.000003, Yield: 22.283149, Join: 0.000018
GLT breakdown Threads: 1, Total: 22.076130, Create: 0.000004, Yield: 22.076112, Join: 0.000014
GLT breakdown Threads: 1, Total: 22.070850, Create: 0.000004, Yield: 22.070831, Join: 0.000015
GLT breakdown Threads: 1, Total: 21.931805, Create: 0.000003, Yield: 21.931785, Join: 0.000017
GLT breakdown Threads: 1, Total: 22.163082, Create: 0.000004, Yield: 22.163063, Join: 0.000015
GLT breakdown Threads: 1, Total: 22.184004, Create: 0.000004, Yield: 22.183982, Join: 0.000018
GLT breakdown Threads: 1, Total: 22.270067, Create: 0.000004, Yield: 22.270045, Join: 0.000018
GLT breakdown Threads: 1, Total: 21.966127, Create: 0.000004, Yield: 21.966101, Join: 0.000022
GLT breakdown Threads: 1, Total: 22.056807, Create: 0.000004, Yield: 22.056781, Join: 0.000022
GLT breakdown Threads: 1, Total: 22.274834, Create: 0.000004, Yield: 22.274812, Join: 0.000018
GLT breakdown Threads: 1, Total: 22.114956, Create: 0.000003, Yield: 22.114935, Join: 0.000018
GLT breakdown Threads: 1, Total: 21.993718, Create: 0.000014, Yield: 21.993680, Join: 0.000024
GLT breakdown Threads: 1, Total: 21.947118, Create: 0.000004, Yield: 21.947097, Join: 0.000017
GLT breakdown Threads: 1, Total: 22.021724, Create: 0.000004, Yield: 22.021698, Join: 0.000022
