GLT breakdown Threads: 1, Total: 22.074159, Create: 0.000008, Yield: 22.074149, Join: 0.000002
GLT breakdown Threads: 1, Total: 22.175607, Create: 0.000006, Yield: 22.175598, Join: 0.000003
GLT breakdown Threads: 1, Total: 22.077055, Create: 0.000005, Yield: 22.077048, Join: 0.000002
GLT breakdown Threads: 1, Total: 22.071064, Create: 0.000006, Yield: 22.071056, Join: 0.000002
GLT breakdown Threads: 1, Total: 22.076033, Create: 0.000005, Yield: 22.076024, Join: 0.000004
GLT breakdown Threads: 1, Total: 22.275294, Create: 0.000006, Yield: 22.275285, Join: 0.000003
GLT breakdown Threads: 1, Total: 22.199088, Create: 0.000006, Yield: 22.199080, Join: 0.000002
GLT breakdown Threads: 1, Total: 22.294258, Create: 0.000006, Yield: 22.294250, Join: 0.000002
GLT breakdown Threads: 1, Total: 22.077868, Create: 0.000008, Yield: 22.077857, Join: 0.000003
GLT breakdown Threads: 1, Total: 22.144993, Create: 0.000012, Yield: 22.144979, Join: 0.000002
GLT breakdown Threads: 1, Total: 22.083531, Create: 0.000009, Yield: 22.083517, Join: 0.000005
GLT breakdown Threads: 1, Total: 22.129595, Create: 0.000005, Yield: 22.129587, Join: 0.000002
GLT breakdown Threads: 1, Total: 22.076351, Create: 0.000009, Yield: 22.076339, Join: 0.000003
GLT breakdown Threads: 1, Total: 22.418972, Create: 0.000005, Yield: 22.418962, Join: 0.000005
GLT breakdown Threads: 1, Total: 22.082554, Create: 0.000006, Yield: 22.082545, Join: 0.000002
GLT breakdown Threads: 1, Total: 22.249327, Create: 0.000008, Yield: 22.249317, Join: 0.000002
GLT breakdown Threads: 1, Total: 22.141084, Create: 0.000006, Yield: 22.141076, Join: 0.000002
GLT breakdown Threads: 1, Total: 22.085548, Create: 0.000006, Yield: 22.085540, Join: 0.000002
GLT breakdown Threads: 1, Total: 22.084439, Create: 0.000006, Yield: 22.084430, Join: 0.000003
GLT breakdown Threads: 1, Total: 22.110967, Create: 0.000006, Yield: 22.110959, Join: 0.000002
GLT breakdown Threads: 1, Total: 22.103400, Create: 0.000006, Yield: 22.103392, Join: 0.000002
GLT breakdown Threads: 1, Total: 22.066167, Create: 0.000009, Yield: 22.066156, Join: 0.000002
GLT breakdown Threads: 1, Total: 22.096617, Create: 0.000006, Yield: 22.096606, Join: 0.000005
GLT breakdown Threads: 1, Total: 22.079052, Create: 0.000005, Yield: 22.079044, Join: 0.000003
GLT breakdown Threads: 1, Total: 22.124368, Create: 0.000005, Yield: 22.124360, Join: 0.000003
GLT breakdown Threads: 1, Total: 22.070658, Create: 0.000006, Yield: 22.070650, Join: 0.000002
GLT breakdown Threads: 1, Total: 22.121323, Create: 0.000006, Yield: 22.121315, Join: 0.000002
GLT breakdown Threads: 1, Total: 22.100385, Create: 0.000005, Yield: 22.100378, Join: 0.000002
GLT breakdown Threads: 1, Total: 22.086348, Create: 0.000006, Yield: 22.086340, Join: 0.000002
GLT breakdown Threads: 1, Total: 22.095954, Create: 0.000008, Yield: 22.095944, Join: 0.000002
GLT breakdown Threads: 1, Total: 22.176722, Create: 0.000008, Yield: 22.176709, Join: 0.000005
GLT breakdown Threads: 1, Total: 22.075668, Create: 0.000006, Yield: 22.075657, Join: 0.000005
GLT breakdown Threads: 1, Total: 22.070014, Create: 0.000008, Yield: 22.070003, Join: 0.000003
GLT breakdown Threads: 1, Total: 22.089144, Create: 0.000009, Yield: 22.089133, Join: 0.000002
GLT breakdown Threads: 1, Total: 22.075622, Create: 0.000009, Yield: 22.075609, Join: 0.000004
GLT breakdown Threads: 1, Total: 22.128524, Create: 0.000006, Yield: 22.128515, Join: 0.000003
GLT breakdown Threads: 1, Total: 22.078342, Create: 0.000005, Yield: 22.078335, Join: 0.000002
GLT breakdown Threads: 1, Total: 22.110621, Create: 0.000006, Yield: 22.110613, Join: 0.000002
GLT breakdown Threads: 1, Total: 22.113695, Create: 0.000006, Yield: 22.113687, Join: 0.000002
GLT breakdown Threads: 1, Total: 22.073890, Create: 0.000006, Yield: 22.073882, Join: 0.000002
GLT breakdown Threads: 1, Total: 22.071571, Create: 0.000006, Yield: 22.071560, Join: 0.000005
GLT breakdown Threads: 1, Total: 22.080631, Create: 0.000006, Yield: 22.080623, Join: 0.000002
GLT breakdown Threads: 1, Total: 22.082771, Create: 0.000006, Yield: 22.082763, Join: 0.000002
GLT breakdown Threads: 1, Total: 22.087620, Create: 0.000006, Yield: 22.087611, Join: 0.000003
GLT breakdown Threads: 1, Total: 22.071276, Create: 0.000005, Yield: 22.071266, Join: 0.000005
GLT breakdown Threads: 1, Total: 22.073214, Create: 0.000010, Yield: 22.073202, Join: 0.000002
GLT breakdown Threads: 1, Total: 22.083014, Create: 0.000008, Yield: 22.083003, Join: 0.000002
GLT breakdown Threads: 1, Total: 22.074196, Create: 0.000006, Yield: 22.074188, Join: 0.000002
GLT breakdown Threads: 1, Total: 22.070123, Create: 0.000006, Yield: 22.070114, Join: 0.000003
