1 100 0.000104 [0.000043 - 0.003025] 0.000422 Join(0.000043)
2 100 0.000122 [0.000036 - 0.003828] 0.000535 Join(0.000044)
3 100 0.000151 [0.000035 - 0.005542] 0.000778 Join(0.000039)
4 100 0.000225 [0.000029 - 0.009517] 0.001341 Join(0.000032)
5 100 0.000241 [0.000026 - 0.010370] 0.001462 Join(0.000030)
6 100 0.000262 [0.000024 - 0.011527] 0.001626 Join(0.000053)
7 100 0.000300 [0.000025 - 0.013316] 0.001878 Join(0.000028)
8 100 0.000314 [0.000024 - 0.014096] 0.001989 Join(0.000030)
9 100 0.000335 [0.000025 - 0.014690] 0.002072 Join(0.000119)
10 100 0.000364 [0.000040 - 0.014810] 0.002085 Join(0.000139)
11 100 0.000391 [0.000046 - 0.015800] 0.002224 Join(0.000064)
12 100 0.000462 [0.000037 - 0.019049] 0.002682 Join(0.000140)
13 100 0.000495 [0.000051 - 0.019712] 0.002773 Join(0.000087)
14 100 0.000499 [0.000058 - 0.019690] 0.002770 Join(0.000088)
15 100 0.000503 [0.000044 - 0.019665] 0.002766 Join(0.000089)
16 100 0.000521 [0.000060 - 0.020213] 0.002842 Join(0.000119)
17 100 0.000619 [0.000074 - 0.023971] 0.003370 Join(0.000208)
18 100 0.000607 [0.000065 - 0.023673] 0.003329 Join(0.000110)
19 100 0.000631 [0.000082 - 0.023736] 0.003334 Join(0.000132)
20 100 0.000711 [0.000102 - 0.027101] 0.003809 Join(0.000147)
21 100 0.000659 [0.000097 - 0.024238] 0.003403 Join(0.000144)
22 100 0.000702 [0.000102 - 0.026201] 0.003680 Join(0.000172)
23 100 0.000784 [0.000119 - 0.029760] 0.004182 Join(0.000156)
24 100 0.000807 [0.000115 - 0.030547] 0.004292 Join(0.000163)
25 100 0.000769 [0.000117 - 0.028937] 0.004065 Join(0.000156)
26 100 0.000782 [0.000123 - 0.028840] 0.004049 Join(0.000170)
27 100 0.000775 [0.000100 - 0.028519] 0.004004 Join(0.000167)
28 100 0.000794 [0.000116 - 0.029870] 0.004196 Join(0.000167)
29 100 0.000812 [0.000136 - 0.029185] 0.004095 Join(0.000243)
30 100 0.000853 [0.000134 - 0.032257] 0.004532 Join(0.000191)
31 100 0.000918 [0.000143 - 0.035118] 0.004936 Join(0.000173)
32 100 0.000913 [0.000162 - 0.033787] 0.004744 Join(0.000290)
33 100 0.001002 [0.000180 - 0.037515] 0.005269 Join(0.000208)
34 100 0.001000 [0.000177 - 0.036865] 0.005176 Join(0.000315)
35 100 0.001086 [0.000200 - 0.039657] 0.005566 Join(0.000358)
36 100 0.001034 [0.000189 - 0.037987] 0.005333 Join(0.000250)
