QTHREAD breakdown Threads: 1, Total: 22.167893, Create: 0.000004, Yield: 22.167888, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.286199, Create: 0.000003, Yield: 22.286195, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.158802, Create: 0.000003, Yield: 22.158798, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.314791, Create: 0.000004, Yield: 22.314786, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.267502, Create: 0.000004, Yield: 22.267497, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.156630, Create: 0.000004, Yield: 22.156625, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.165411, Create: 0.000003, Yield: 22.165407, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.151219, Create: 0.000004, Yield: 22.151214, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.175163, Create: 0.000004, Yield: 22.175159, Join: 0.000000
QTHREAD breakdown Threads: 1, Total: 22.317807, Create: 0.000005, Yield: 22.317801, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.240648, Create: 0.000004, Yield: 22.240643, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.243016, Create: 0.000006, Yield: 22.243009, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.158140, Create: 0.000005, Yield: 22.158134, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 24.567055, Create: 0.000005, Yield: 24.567047, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.173054, Create: 0.000004, Yield: 22.173049, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.168371, Create: 0.000005, Yield: 22.168365, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.282647, Create: 0.000004, Yield: 22.282642, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.155539, Create: 0.000004, Yield: 22.155534, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.159256, Create: 0.000004, Yield: 22.159252, Join: 0.000000
QTHREAD breakdown Threads: 1, Total: 22.159515, Create: 0.000004, Yield: 22.159510, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.169208, Create: 0.000004, Yield: 22.169201, Join: 0.000003
QTHREAD breakdown Threads: 1, Total: 22.157670, Create: 0.000004, Yield: 22.157665, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.163634, Create: 0.000005, Yield: 22.163628, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.171921, Create: 0.000006, Yield: 22.171912, Join: 0.000003
QTHREAD breakdown Threads: 1, Total: 22.183193, Create: 0.000004, Yield: 22.183188, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.217467, Create: 0.000004, Yield: 22.217462, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.168993, Create: 0.000004, Yield: 22.168988, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.179935, Create: 0.000004, Yield: 22.179927, Join: 0.000004
QTHREAD breakdown Threads: 1, Total: 22.225723, Create: 0.000006, Yield: 22.225716, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.171331, Create: 0.000004, Yield: 22.171326, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.160559, Create: 0.000004, Yield: 22.160554, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.335129, Create: 0.000011, Yield: 22.335117, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.156715, Create: 0.000004, Yield: 22.156710, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.219424, Create: 0.000006, Yield: 22.219417, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.179299, Create: 0.000004, Yield: 22.179295, Join: 0.000000
QTHREAD breakdown Threads: 1, Total: 22.155528, Create: 0.000004, Yield: 22.155524, Join: 0.000000
QTHREAD breakdown Threads: 1, Total: 22.158287, Create: 0.000003, Yield: 22.158279, Join: 0.000005
QTHREAD breakdown Threads: 1, Total: 22.198627, Create: 0.000005, Yield: 22.198619, Join: 0.000003
QTHREAD breakdown Threads: 1, Total: 22.169126, Create: 0.000004, Yield: 22.169122, Join: 0.000000
QTHREAD breakdown Threads: 1, Total: 22.302269, Create: 0.000005, Yield: 22.302261, Join: 0.000003
QTHREAD breakdown Threads: 1, Total: 22.157917, Create: 0.000006, Yield: 22.157910, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.157970, Create: 0.000004, Yield: 22.157963, Join: 0.000003
QTHREAD breakdown Threads: 1, Total: 22.168206, Create: 0.000004, Yield: 22.168201, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.166763, Create: 0.000004, Yield: 22.166756, Join: 0.000003
QTHREAD breakdown Threads: 1, Total: 22.163475, Create: 0.000005, Yield: 22.163470, Join: 0.000000
QTHREAD breakdown Threads: 1, Total: 22.207610, Create: 0.000006, Yield: 22.207599, Join: 0.000005
QTHREAD breakdown Threads: 1, Total: 22.158670, Create: 0.000004, Yield: 22.158665, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.163369, Create: 0.000004, Yield: 22.163364, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.159361, Create: 0.000004, Yield: 22.159356, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.179479, Create: 0.000004, Yield: 22.179472, Join: 0.000003
QTHREAD breakdown Threads: 1, Total: 22.164939, Create: 0.000004, Yield: 22.164935, Join: 0.000000
QTHREAD breakdown Threads: 1, Total: 22.163842, Create: 0.000004, Yield: 22.163837, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.166174, Create: 0.000003, Yield: 22.166171, Join: 0.000000
QTHREAD breakdown Threads: 1, Total: 22.159326, Create: 0.000004, Yield: 22.159321, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.164053, Create: 0.000004, Yield: 22.164048, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.154827, Create: 0.000016, Yield: 22.154810, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.236624, Create: 0.000006, Yield: 22.236615, Join: 0.000003
QTHREAD breakdown Threads: 1, Total: 22.160519, Create: 0.000003, Yield: 22.160515, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.225306, Create: 0.000004, Yield: 22.225302, Join: 0.000000
QTHREAD breakdown Threads: 1, Total: 22.169728, Create: 0.000004, Yield: 22.169723, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.197290, Create: 0.000004, Yield: 22.197285, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.157081, Create: 0.000004, Yield: 22.157076, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.164105, Create: 0.000004, Yield: 22.164100, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.200322, Create: 0.000004, Yield: 22.200315, Join: 0.000003
QTHREAD breakdown Threads: 1, Total: 22.168051, Create: 0.000003, Yield: 22.168047, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.155625, Create: 0.000004, Yield: 22.155620, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.166502, Create: 0.000006, Yield: 22.166495, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.163558, Create: 0.000004, Yield: 22.163553, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.155012, Create: 0.000004, Yield: 22.155007, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.254585, Create: 0.000004, Yield: 22.254577, Join: 0.000004
QTHREAD breakdown Threads: 1, Total: 22.162399, Create: 0.000006, Yield: 22.162392, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.230855, Create: 0.000004, Yield: 22.230850, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.166737, Create: 0.000005, Yield: 22.166731, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.153495, Create: 0.000004, Yield: 22.153490, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.153303, Create: 0.000004, Yield: 22.153295, Join: 0.000004
QTHREAD breakdown Threads: 1, Total: 22.236350, Create: 0.000003, Yield: 22.236346, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.194974, Create: 0.000006, Yield: 22.194967, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.154745, Create: 0.000003, Yield: 22.154741, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.156701, Create: 0.000003, Yield: 22.156697, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.166703, Create: 0.000004, Yield: 22.166698, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.165934, Create: 0.000004, Yield: 22.165927, Join: 0.000003
QTHREAD breakdown Threads: 1, Total: 22.157042, Create: 0.000003, Yield: 22.157038, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.169381, Create: 0.000003, Yield: 22.169377, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.178549, Create: 0.000005, Yield: 22.178543, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.266019, Create: 0.000006, Yield: 22.266010, Join: 0.000003
QTHREAD breakdown Threads: 1, Total: 22.224281, Create: 0.000006, Yield: 22.224275, Join: 0.000000
QTHREAD breakdown Threads: 1, Total: 22.150443, Create: 0.000003, Yield: 22.150439, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.165021, Create: 0.000004, Yield: 22.165016, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.153940, Create: 0.000004, Yield: 22.153935, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.154054, Create: 0.000004, Yield: 22.154050, Join: 0.000000
QTHREAD breakdown Threads: 1, Total: 22.168754, Create: 0.000003, Yield: 22.168750, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.181395, Create: 0.000004, Yield: 22.181390, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.158991, Create: 0.000004, Yield: 22.158987, Join: 0.000000
QTHREAD breakdown Threads: 1, Total: 22.310368, Create: 0.000004, Yield: 22.310363, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.269878, Create: 0.000006, Yield: 22.269867, Join: 0.000005
QTHREAD breakdown Threads: 1, Total: 22.176683, Create: 0.000006, Yield: 22.176677, Join: 0.000000
QTHREAD breakdown Threads: 1, Total: 22.150886, Create: 0.000004, Yield: 22.150881, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.151332, Create: 0.000006, Yield: 22.151323, Join: 0.000003
QTHREAD breakdown Threads: 1, Total: 22.354665, Create: 0.000003, Yield: 22.354662, Join: 0.000000
QTHREAD breakdown Threads: 1, Total: 22.160032, Create: 0.000005, Yield: 22.160026, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.153705, Create: 0.000006, Yield: 22.153698, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.173300, Create: 0.000004, Yield: 22.173293, Join: 0.000003
QTHREAD breakdown Threads: 1, Total: 22.217936, Create: 0.000004, Yield: 22.217931, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.156553, Create: 0.000009, Yield: 22.156544, Join: 0.000000
QTHREAD breakdown Threads: 1, Total: 22.266132, Create: 0.000004, Yield: 22.266127, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.157455, Create: 0.000003, Yield: 22.157451, Join: 0.000001
