MASSIVETHREAD breakdown Threads: 1, Total: 21.932336, Create: 21.932320, Yield: 0.000015, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 22.242654, Create: 22.242638, Yield: 0.000016, Join: 0.000000
MASSIVETHREAD breakdown Threads: 1, Total: 22.017126, Create: 22.017111, Yield: 0.000014, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 22.040217, Create: 22.040202, Yield: 0.000015, Join: 0.000000
MASSIVETHREAD breakdown Threads: 1, Total: 21.994035, Create: 21.994023, Yield: 0.000011, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 22.030330, Create: 22.030316, Yield: 0.000013, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 21.995592, Create: 21.995579, Yield: 0.000012, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 22.014725, Create: 22.014713, Yield: 0.000012, Join: 0.000000
MASSIVETHREAD breakdown Threads: 1, Total: 21.944217, Create: 21.944205, Yield: 0.000012, Join: 0.000000
MASSIVETHREAD breakdown Threads: 1, Total: 21.998350, Create: 21.998333, Yield: 0.000017, Join: 0.000000
MASSIVETHREAD breakdown Threads: 1, Total: 21.987963, Create: 21.987950, Yield: 0.000012, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 21.937594, Create: 21.937581, Yield: 0.000012, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 21.935024, Create: 21.935012, Yield: 0.000011, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 21.983011, Create: 21.982998, Yield: 0.000012, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 21.948265, Create: 21.948253, Yield: 0.000011, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 21.949472, Create: 21.949460, Yield: 0.000011, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 21.932492, Create: 21.932480, Yield: 0.000012, Join: 0.000000
MASSIVETHREAD breakdown Threads: 1, Total: 21.932515, Create: 21.932502, Yield: 0.000012, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 21.968672, Create: 21.968660, Yield: 0.000011, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 21.965839, Create: 21.965826, Yield: 0.000012, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 21.945830, Create: 21.945814, Yield: 0.000015, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 22.128359, Create: 22.128344, Yield: 0.000014, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 22.120851, Create: 22.120834, Yield: 0.000017, Join: 0.000000
MASSIVETHREAD breakdown Threads: 1, Total: 21.992303, Create: 21.992289, Yield: 0.000014, Join: 0.000000
MASSIVETHREAD breakdown Threads: 1, Total: 21.957602, Create: 21.957587, Yield: 0.000014, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 21.944684, Create: 21.944669, Yield: 0.000014, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 22.148838, Create: 22.148820, Yield: 0.000017, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 21.950210, Create: 21.950195, Yield: 0.000014, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 21.955361, Create: 21.955345, Yield: 0.000015, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 22.113506, Create: 22.113492, Yield: 0.000013, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 21.940894, Create: 21.940879, Yield: 0.000014, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 21.933208, Create: 21.933193, Yield: 0.000014, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 22.239273, Create: 22.239259, Yield: 0.000014, Join: 0.000000
MASSIVETHREAD breakdown Threads: 1, Total: 21.941587, Create: 21.941575, Yield: 0.000011, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 22.175867, Create: 22.175851, Yield: 0.000015, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 21.971814, Create: 21.971797, Yield: 0.000014, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 21.934335, Create: 21.934320, Yield: 0.000015, Join: 0.000000
MASSIVETHREAD breakdown Threads: 1, Total: 21.934407, Create: 21.934391, Yield: 0.000015, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 22.049467, Create: 22.049447, Yield: 0.000019, Join: 0.000001
