ARGOBOTS breakdown Threads: 1, Total: 21.847528, Create: 0.000001, Yield: 21.847512, Join: 0.000015
ARGOBOTS breakdown Threads: 1, Total: 21.846702, Create: 0.000000, Yield: 21.846688, Join: 0.000014
ARGOBOTS breakdown Threads: 1, Total: 21.913962, Create: 0.000000, Yield: 21.913951, Join: 0.000011
ARGOBOTS breakdown Threads: 1, Total: 21.911655, Create: 0.000001, Yield: 21.911642, Join: 0.000012
ARGOBOTS breakdown Threads: 1, Total: 21.910628, Create: 0.000001, Yield: 21.910616, Join: 0.000011
ARGOBOTS breakdown Threads: 1, Total: 22.039468, Create: 0.000001, Yield: 22.039455, Join: 0.000012
ARGOBOTS breakdown Threads: 1, Total: 21.842508, Create: 0.000001, Yield: 21.842496, Join: 0.000011
ARGOBOTS breakdown Threads: 1, Total: 21.882002, Create: 0.000002, Yield: 21.881985, Join: 0.000015
ARGOBOTS breakdown Threads: 1, Total: 21.850229, Create: 0.000001, Yield: 21.850203, Join: 0.000025
ARGOBOTS breakdown Threads: 1, Total: 22.096335, Create: 0.000000, Yield: 22.096322, Join: 0.000013
ARGOBOTS breakdown Threads: 1, Total: 21.843923, Create: 0.000000, Yield: 21.843911, Join: 0.000012
ARGOBOTS breakdown Threads: 1, Total: 21.864956, Create: 0.000000, Yield: 21.864940, Join: 0.000016
ARGOBOTS breakdown Threads: 1, Total: 21.867181, Create: 0.000001, Yield: 21.867167, Join: 0.000013
ARGOBOTS breakdown Threads: 1, Total: 22.037979, Create: 0.000001, Yield: 22.037963, Join: 0.000015
ARGOBOTS breakdown Threads: 1, Total: 21.862566, Create: 0.000001, Yield: 21.862554, Join: 0.000011
ARGOBOTS breakdown Threads: 1, Total: 21.878654, Create: 0.000000, Yield: 21.878642, Join: 0.000012
ARGOBOTS breakdown Threads: 1, Total: 21.895908, Create: 0.000001, Yield: 21.895889, Join: 0.000018
ARGOBOTS breakdown Threads: 1, Total: 22.029191, Create: 0.000000, Yield: 22.029178, Join: 0.000013
ARGOBOTS breakdown Threads: 1, Total: 21.860591, Create: 0.000000, Yield: 21.860578, Join: 0.000013
ARGOBOTS breakdown Threads: 1, Total: 21.912170, Create: 0.000000, Yield: 21.912158, Join: 0.000012
ARGOBOTS breakdown Threads: 1, Total: 21.988643, Create: 0.000001, Yield: 21.988621, Join: 0.000021
ARGOBOTS breakdown Threads: 1, Total: 21.851648, Create: 0.000000, Yield: 21.851636, Join: 0.000012
ARGOBOTS breakdown Threads: 1, Total: 21.883608, Create: 0.000001, Yield: 21.883593, Join: 0.000014
ARGOBOTS breakdown Threads: 1, Total: 21.845071, Create: 0.000002, Yield: 21.845057, Join: 0.000012
ARGOBOTS breakdown Threads: 1, Total: 21.947413, Create: 0.000001, Yield: 21.947393, Join: 0.000019
ARGOBOTS breakdown Threads: 1, Total: 22.015649, Create: 0.000000, Yield: 22.015638, Join: 0.000011
ARGOBOTS breakdown Threads: 1, Total: 21.845165, Create: 0.000000, Yield: 21.845152, Join: 0.000013
ARGOBOTS breakdown Threads: 1, Total: 21.863719, Create: 0.000000, Yield: 21.863707, Join: 0.000012
ARGOBOTS breakdown Threads: 1, Total: 21.846674, Create: 0.000000, Yield: 21.846663, Join: 0.000011
ARGOBOTS breakdown Threads: 1, Total: 21.860240, Create: 0.000000, Yield: 21.860228, Join: 0.000011
ARGOBOTS breakdown Threads: 1, Total: 21.865029, Create: 0.000000, Yield: 21.865017, Join: 0.000012
ARGOBOTS breakdown Threads: 1, Total: 21.855927, Create: 0.000001, Yield: 21.855914, Join: 0.000012
ARGOBOTS breakdown Threads: 1, Total: 21.906107, Create: 0.000001, Yield: 21.906091, Join: 0.000015
ARGOBOTS breakdown Threads: 1, Total: 21.853448, Create: 0.000000, Yield: 21.853434, Join: 0.000014
ARGOBOTS breakdown Threads: 1, Total: 22.020498, Create: 0.000000, Yield: 22.020483, Join: 0.000014
ARGOBOTS breakdown Threads: 1, Total: 21.926873, Create: 0.000000, Yield: 21.926858, Join: 0.000015
ARGOBOTS breakdown Threads: 1, Total: 21.844773, Create: 0.000000, Yield: 21.844759, Join: 0.000014
ARGOBOTS breakdown Threads: 1, Total: 22.137349, Create: 0.000001, Yield: 22.137329, Join: 0.000019
ARGOBOTS breakdown Threads: 1, Total: 21.845683, Create: 0.000000, Yield: 21.845668, Join: 0.000015
