ARGOBOTS breakdown Threads: 1, Total: 21.900193, Create: 0.000002, Yield: 21.900172, Join: 0.000019
ARGOBOTS breakdown Threads: 1, Total: 21.843912, Create: 0.000002, Yield: 21.843891, Join: 0.000019
ARGOBOTS breakdown Threads: 1, Total: 21.893421, Create: 0.000002, Yield: 21.893404, Join: 0.000015
ARGOBOTS breakdown Threads: 1, Total: 22.069936, Create: 0.000002, Yield: 22.069917, Join: 0.000017
ARGOBOTS breakdown Threads: 1, Total: 21.891741, Create: 0.000002, Yield: 21.891720, Join: 0.000019
ARGOBOTS breakdown Threads: 1, Total: 21.844143, Create: 0.000002, Yield: 21.844122, Join: 0.000019
ARGOBOTS breakdown Threads: 1, Total: 21.846383, Create: 0.000002, Yield: 21.846364, Join: 0.000016
ARGOBOTS breakdown Threads: 1, Total: 21.923728, Create: 0.000005, Yield: 21.923707, Join: 0.000016
ARGOBOTS breakdown Threads: 1, Total: 22.091173, Create: 0.000002, Yield: 22.091156, Join: 0.000015
ARGOBOTS breakdown Threads: 1, Total: 21.985805, Create: 0.000002, Yield: 21.985788, Join: 0.000015
ARGOBOTS breakdown Threads: 1, Total: 22.009392, Create: 0.000002, Yield: 22.009374, Join: 0.000016
ARGOBOTS breakdown Threads: 1, Total: 22.068439, Create: 0.000001, Yield: 22.068422, Join: 0.000016
ARGOBOTS breakdown Threads: 1, Total: 21.883152, Create: 0.000004, Yield: 21.883132, Join: 0.000016
ARGOBOTS breakdown Threads: 1, Total: 21.843957, Create: 0.000002, Yield: 21.843940, Join: 0.000015
ARGOBOTS breakdown Threads: 1, Total: 21.856449, Create: 0.000002, Yield: 21.856433, Join: 0.000014
ARGOBOTS breakdown Threads: 1, Total: 21.851483, Create: 0.000002, Yield: 21.851466, Join: 0.000015
ARGOBOTS breakdown Threads: 1, Total: 21.842139, Create: 0.000002, Yield: 21.842118, Join: 0.000019
ARGOBOTS breakdown Threads: 1, Total: 21.841969, Create: 0.000002, Yield: 21.841952, Join: 0.000015
ARGOBOTS breakdown Threads: 1, Total: 21.904125, Create: 0.000002, Yield: 21.904108, Join: 0.000015
ARGOBOTS breakdown Threads: 1, Total: 21.840016, Create: 0.000002, Yield: 21.839999, Join: 0.000014
ARGOBOTS breakdown Threads: 1, Total: 21.922451, Create: 0.000002, Yield: 21.922429, Join: 0.000020
ARGOBOTS breakdown Threads: 1, Total: 21.863637, Create: 0.000005, Yield: 21.863617, Join: 0.000015
ARGOBOTS breakdown Threads: 1, Total: 21.845072, Create: 0.000002, Yield: 21.845053, Join: 0.000017
ARGOBOTS breakdown Threads: 1, Total: 21.842654, Create: 0.000002, Yield: 21.842636, Join: 0.000016
ARGOBOTS breakdown Threads: 1, Total: 21.859284, Create: 0.000015, Yield: 21.859253, Join: 0.000016
ARGOBOTS breakdown Threads: 1, Total: 22.189424, Create: 0.000003, Yield: 22.189405, Join: 0.000016
ARGOBOTS breakdown Threads: 1, Total: 21.922077, Create: 0.000002, Yield: 21.922059, Join: 0.000016
ARGOBOTS breakdown Threads: 1, Total: 21.853839, Create: 0.000002, Yield: 21.853821, Join: 0.000015
ARGOBOTS breakdown Threads: 1, Total: 21.961049, Create: 0.000002, Yield: 21.961033, Join: 0.000014
ARGOBOTS breakdown Threads: 1, Total: 21.879309, Create: 0.000002, Yield: 21.879292, Join: 0.000015
ARGOBOTS breakdown Threads: 1, Total: 21.841131, Create: 0.000002, Yield: 21.841114, Join: 0.000015
ARGOBOTS breakdown Threads: 1, Total: 21.841448, Create: 0.000002, Yield: 21.841431, Join: 0.000015
ARGOBOTS breakdown Threads: 1, Total: 21.913021, Create: 0.000002, Yield: 21.912995, Join: 0.000024
ARGOBOTS breakdown Threads: 1, Total: 21.879699, Create: 0.000002, Yield: 21.879676, Join: 0.000021
ARGOBOTS breakdown Threads: 1, Total: 21.846381, Create: 0.000002, Yield: 21.846358, Join: 0.000021
ARGOBOTS breakdown Threads: 1, Total: 21.849742, Create: 0.000002, Yield: 21.849721, Join: 0.000019
ARGOBOTS breakdown Threads: 1, Total: 21.961669, Create: 0.000002, Yield: 21.961649, Join: 0.000018
ARGOBOTS breakdown Threads: 1, Total: 21.843536, Create: 0.000002, Yield: 21.843512, Join: 0.000022
ARGOBOTS breakdown Threads: 1, Total: 21.845958, Create: 0.000002, Yield: 21.845936, Join: 0.000020
ARGOBOTS breakdown Threads: 1, Total: 21.874002, Create: 0.000005, Yield: 21.873978, Join: 0.000019
ARGOBOTS breakdown Threads: 1, Total: 21.843552, Create: 0.000002, Yield: 21.843531, Join: 0.000019
ARGOBOTS breakdown Threads: 1, Total: 21.853400, Create: 0.000002, Yield: 21.853379, Join: 0.000019
ARGOBOTS breakdown Threads: 1, Total: 21.846964, Create: 0.000004, Yield: 21.846941, Join: 0.000019
ARGOBOTS breakdown Threads: 1, Total: 21.842263, Create: 0.000002, Yield: 21.842241, Join: 0.000020
ARGOBOTS breakdown Threads: 1, Total: 21.860527, Create: 0.000002, Yield: 21.860506, Join: 0.000019
ARGOBOTS breakdown Threads: 1, Total: 21.931828, Create: 0.000002, Yield: 21.931810, Join: 0.000016
ARGOBOTS breakdown Threads: 1, Total: 21.839970, Create: 0.000002, Yield: 21.839953, Join: 0.000015
ARGOBOTS breakdown Threads: 1, Total: 21.859469, Create: 0.000005, Yield: 21.859448, Join: 0.000016
ARGOBOTS breakdown Threads: 1, Total: 21.841100, Create: 0.000002, Yield: 21.841079, Join: 0.000018
ARGOBOTS breakdown Threads: 1, Total: 21.933439, Create: 0.000002, Yield: 21.933422, Join: 0.000015
ARGOBOTS breakdown Threads: 1, Total: 21.847051, Create: 0.000002, Yield: 21.847033, Join: 0.000016
ARGOBOTS breakdown Threads: 1, Total: 21.843229, Create: 0.000002, Yield: 21.843212, Join: 0.000015
ARGOBOTS breakdown Threads: 1, Total: 21.840628, Create: 0.000004, Yield: 21.840609, Join: 0.000015
ARGOBOTS breakdown Threads: 1, Total: 21.841726, Create: 0.000002, Yield: 21.841709, Join: 0.000015
ARGOBOTS breakdown Threads: 1, Total: 21.847909, Create: 0.000005, Yield: 21.847888, Join: 0.000016
ARGOBOTS breakdown Threads: 1, Total: 21.869724, Create: 0.000004, Yield: 21.869705, Join: 0.000015
ARGOBOTS breakdown Threads: 1, Total: 21.876564, Create: 0.000000, Yield: 21.876548, Join: 0.000016
ARGOBOTS breakdown Threads: 1, Total: 21.852315, Create: 0.000002, Yield: 21.852298, Join: 0.000015
ARGOBOTS breakdown Threads: 1, Total: 22.018084, Create: 0.000006, Yield: 22.018062, Join: 0.000016
ARGOBOTS breakdown Threads: 1, Total: 21.931636, Create: 0.000002, Yield: 21.931619, Join: 0.000015
ARGOBOTS breakdown Threads: 1, Total: 21.877497, Create: 0.000002, Yield: 21.877480, Join: 0.000015
ARGOBOTS breakdown Threads: 1, Total: 21.849051, Create: 0.000002, Yield: 21.849032, Join: 0.000017
ARGOBOTS breakdown Threads: 1, Total: 21.893877, Create: 0.000003, Yield: 21.893858, Join: 0.000016
ARGOBOTS breakdown Threads: 1, Total: 21.865450, Create: 0.000005, Yield: 21.865430, Join: 0.000014
ARGOBOTS breakdown Threads: 1, Total: 21.854269, Create: 0.000002, Yield: 21.854252, Join: 0.000015
