1 shepherd node
8 8 1000 0.000166 [0.000003 - 0.008095] 0.001144
9 9 1000 0.000166 [0.000004 - 0.008069] 0.001140
10 10 1000 0.000170 [0.000005 - 0.008147] 0.001151
11 11 1000 0.000172 [0.000007 - 0.008162] 0.001153
12 12 1000 0.000173 [0.000008 - 0.008168] 0.001154
13 13 1000 0.000175 [0.000007 - 0.008204] 0.001159
14 14 1000 0.000176 [0.000010 - 0.008223] 0.001161
15 15 1000 0.000175 [0.000011 - 0.008126] 0.001147
16 16 1000 0.000179 [0.000011 - 0.008209] 0.001159
17 17 1000 0.000179 [0.000012 - 0.008199] 0.001157
18 18 1000 0.000182 [0.000014 - 0.008272] 0.001167
19 19 1000 0.000181 [0.000014 - 0.008184] 0.001155
20 20 1000 0.000183 [0.000015 - 0.008204] 0.001157
21 21 1000 0.000185 [0.000016 - 0.008245] 0.001163
22 22 1000 0.000185 [0.000016 - 0.008220] 0.001160
23 23 1000 0.000186 [0.000018 - 0.008143] 0.001148
24 24 1000 0.000189 [0.000018 - 0.008317] 0.001173
25 25 1000 0.000190 [0.000018 - 0.008324] 0.001174
26 26 1000 0.000195 [0.000021 - 0.008366] 0.001179
27 27 1000 0.000193 [0.000020 - 0.008346] 0.001177
28 28 1000 0.000194 [0.000023 - 0.008289] 0.001168
29 29 1000 0.000198 [0.000025 - 0.008385] 0.001181
30 30 1000 0.000197 [0.000026 - 0.008291] 0.001168
31 31 1000 0.000202 [0.000028 - 0.008416] 0.001185
32 32 1000 0.000201 [0.000029 - 0.008380] 0.001180
33 33 1000 0.000203 [0.000029 - 0.008366] 0.001178
34 34 1000 0.000207 [0.000030 - 0.008512] 0.001198
35 35 1000 0.000205 [0.000029 - 0.008327] 0.001172
36 36 1000 0.000213 [0.000034 - 0.008472] 0.001192
